post_id,split,ont_domain_density,ont_InteligenciaArtificial_Negativo,ont_total_negativo_mentions,ont_Innovacion_Neutro,ont_Etica_Negativo,ont_InteligenciaArtificial_Neutro,ont_Tecnologia_Positivo
1my9s6j,train,-0.09105035464474698,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1mwbrrx,train,0.4844568414709659,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1mvsvld,train,0.6475172137037513,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,6.023693528137884
1n0jmn0,train,0.04962918218353839,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1n0czt9,train,-1.146146880856887,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1mztnyn,train,0.23359473034360395,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1n1h3yt,train,0.23359473034360395,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1n3bayh,train,-1.146146880856887,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1mvtff1,train,-1.0657135133878002,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1n019i8,train,-1.146146880856887,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1n2lala,train,-0.09105035464474698,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1n2afj1,train,0.5621046377722921,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1n348s3,train,-0.025106821756488196,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1n1cejo,train,0.3485731979436447,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1mxu739,train,0.23359473034360395,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1n352wd,train,2.115060563798819,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1n0v5y7,train,0.1350417581149973,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1n0864p,train,0.4844568414709659,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1myi64u,train,1.0959332373439108,4.761378023831591,3.598598566751869,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1n0qr62,train,-1.0627206439005783,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1n2nsq6,train,-1.0974060087220872,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1muecog,train,-0.4286812430326318,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1mxxdnh,train,-0.24931483357656795,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1n02jgm,train,0.6475172137037513,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1my462y,train,0.3485731979436447,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1mse1hx,train,1.0959332373439108,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1mzmial,train,-1.0276228217449506,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1n2agds,train,2.44118130826439,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1mzs2pn,train,-0.3308450196929606,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.9298850547138652,-0.12708214194383724
1mxx3t0,train,0.6475172137037513,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1n2c52r,train,-1.146146880856887,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
